org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
DN CLT,e HDR,NRY,WI49,JPCQ,probable,probable,yes,yes,never,no,no,yes,windy,0.23,denied
XK UFW,x YJM,NHF,CM09,LXCI,probable,probable,yes,no,never,yes,yes,yes,cloudy,0.79,permitted
partner,normal,normal,a1,peak,probable,probable,no,no,always,yes,yes,no,stormy,0.24,permitted
ES KOZ,e UAX,UZS,RX85,BCFK,probable,probable,yes,yes,always,no,yes,no,cloudy,0.36,permitted
HJ EDD,l ZGK,ROX,OH64,SROX,probable,improbable,no,yes,never,yes,no,yes,stormy,0.73,permitted
PQ NOL,a FQF,NKV,BZ81,FGJM,improbable,probable,yes,no,never,yes,yes,no,rainy,0.67,permitted
YN LUF,v LBE,MVC,DQ28,RUNZ,improbable,probable,no,no,always,no,no,no,windy,0.55,permitted
XJ PCQ,u HBR,JGV,WK86,BRWB,probable,probable,yes,yes,always,yes,yes,no,sunny,0.92,permitted
YN RHP,v KGB,BQM,DB11,ZWAC,probable,improbable,no,yes,never,no,yes,no,sunny,0.89,permitted
OS INL,b RSA,UNS,AV66,UVCD,probable,probable,yes,yes,always,yes,no,yes,sunny,0.33,permitted
partner,vip,normal,a2,off,probable,probable,no,yes,never,yes,no,yes,rainy,0.74,permitted
partner,normal,luxe,a3,peak,improbable,improbable,yes,yes,always,no,no,yes,rainy,0.84,permitted
FN QLY,w EGN,YER,SA67,SCXT,probable,probable,yes,no,always,no,yes,no,rainy,0.26,permitted
HW OIZ,t IZH,YBO,TJ31,GTRP,improbable,improbable,yes,no,sometimes,yes,no,no,windy,0.38,permitted
BC UZP,h HWN,BSK,OS16,CYVO,probable,probable,yes,no,always,no,yes,no,sunny,0.96,permitted
SY KBR,a IAW,QQR,QF44,CKZD,improbable,improbable,no,yes,never,yes,no,no,windy,0.9,denied
others,blacklisted,luxe,a2,off,improbable,improbable,yes,no,sometimes,yes,no,yes,windy,0.81,denied
police,vip,luxe,a3,peak,probable,improbable,yes,no,sometimes,yes,yes,no,sunny,0.24,permitted
FX OMK,z QWK,PJI,TB47,AFJT,probable,probable,yes,yes,always,yes,yes,yes,windy,0.97,permitted
IT ENB,v QJF,RYR,TO68,OTID,improbable,probable,no,no,never,no,no,yes,sunny,0.27,permitted
caraccess,vip,luxe,a1,off,improbable,improbable,yes,no,sometimes,no,no,no,stormy,0.57,denied
ZG GEM,r DWT,MYO,SA31,RUVS,improbable,probable,no,yes,never,yes,yes,no,sunny,0.42,denied
WD NWY,x WEN,TNU,HE87,SRUS,improbable,improbable,yes,yes,sometimes,yes,no,no,sunny,0.18,permitted
PO UYE,x YZW,GRU,ST58,IEOO,probable,probable,no,no,sometimes,yes,no,yes,stormy,0.59,permitted
ZP TAG,n AFC,PSF,WH71,MIMS,improbable,probable,no,no,always,yes,yes,yes,cloudy,0.61,permitted
KZ VUX,d ONH,WJQ,TD00,ALVL,improbable,improbable,yes,yes,never,no,no,no,rainy,0.82,permitted
YU STG,h PQI,QJT,LL97,LHNE,probable,improbable,yes,no,always,no,no,no,stormy,0.72,permitted
LN IDN,r CJE,YCA,GU95,VMNZ,probable,probable,no,no,sometimes,yes,no,yes,rainy,0.95,denied
OR WOU,h NJE,WRC,JF38,RSCB,probable,probable,yes,no,sometimes,no,yes,no,stormy,0.07,permitted
LY HOW,d CON,WSC,RN91,YVJN,probable,improbable,yes,yes,never,yes,no,yes,cloudy,0.17,permitted
TL FLP,e ZRD,FTT,ZS24,AGHF,improbable,improbable,yes,no,sometimes,yes,no,no,rainy,0.75,permitted
RI FHZ,s XJU,FIZ,JL72,XXUP,probable,improbable,yes,no,sometimes,yes,no,yes,windy,0.33,permitted
WI TJG,t YCN,RZJ,ZW19,RSAH,probable,improbable,yes,no,never,yes,no,no,rainy,0.14,permitted
VL IOO,k KBZ,SYZ,PR20,XNAB,improbable,probable,yes,yes,never,no,yes,no,cloudy,0.14,denied
OU LFC,b PQV,XLX,LB18,GTEV,improbable,probable,yes,no,sometimes,no,yes,yes,sunny,0.33,permitted
RH XJN,x MAD,ITC,CU49,IXCJ,improbable,probable,yes,no,sometimes,yes,yes,yes,sunny,0.47,permitted
HM TIR,g DWF,YRR,TB82,QLXK,probable,probable,no,yes,sometimes,yes,no,no,stormy,0.45,permitted
CD OCR,n WBW,MNL,KB19,ANBT,probable,improbable,yes,yes,never,no,yes,no,rainy,0.58,permitted
QV WNK,j QIB,GZU,PJ78,SGNG,improbable,probable,no,yes,always,yes,yes,yes,cloudy,0.81,permitted
SO XBN,b MJV,FRN,LD90,FYSR,improbable,probable,yes,no,always,yes,no,yes,sunny,0.57,permitted
BF NQD,z UNF,GNA,RP73,UEYZ,improbable,improbable,no,no,never,yes,no,no,rainy,0.9,permitted
HK OCL,d FBG,QIX,IW14,NMIN,probable,probable,no,no,sometimes,no,no,yes,windy,0.98,permitted
IU GPP,j DUZ,IMX,MW72,QSQT,improbable,improbable,yes,yes,sometimes,no,yes,no,windy,0.99,permitted
VA WRS,k PXB,BZX,IX74,XECA,improbable,improbable,no,no,always,no,yes,no,cloudy,0.52,permitted
XA ZIO,m FSL,UFL,CT25,ACTD,improbable,probable,yes,no,sometimes,no,no,no,sunny,0.65,permitted
US BWO,e EUQ,HWN,RX65,AOXB,improbable,improbable,yes,no,never,yes,yes,yes,windy,0.77,denied
ZX FNX,r URH,ASC,FT06,NFWQ,probable,probable,yes,yes,never,yes,no,no,stormy,0.15,permitted
caraccess,vip,normal,a3,off,probable,probable,no,yes,never,yes,yes,no,stormy,0.18,denied
EP CHA,o XUI,GEM,FZ21,WFEL,probable,probable,yes,yes,sometimes,no,no,yes,stormy,0.75,permitted
CG BQQ,w LDD,KXZ,OC13,TAMJ,probable,probable,yes,no,never,no,yes,yes,sunny,0.53,permitted
II PVO,g DIS,NNY,SI93,SOTK,probable,improbable,yes,yes,sometimes,no,no,no,rainy,0.91,permitted
NY PUP,z HQW,YCT,SH74,SDQW,improbable,improbable,no,yes,sometimes,yes,yes,yes,stormy,0.26,permitted
HB XFB,m TTZ,ZPX,UM41,CBHU,probable,probable,no,yes,never,yes,no,no,stormy,0.47,permitted
HP FII,l NPZ,UPZ,RU01,TDXI,improbable,improbable,no,yes,sometimes,no,yes,no,cloudy,0.61,denied
FO KLC,x PXQ,RZW,DN08,BJIF,improbable,improbable,no,no,never,no,no,yes,sunny,0.05,permitted
KZ KVP,m LAC,DBK,OF35,YKNJ,probable,improbable,yes,no,sometimes,yes,no,yes,rainy,0.03,permitted
BK ZPI,t UTF,VOV,ME24,FSBW,improbable,probable,no,no,never,yes,no,yes,cloudy,0.01,permitted
QZ GGZ,a JMI,JGU,OF54,REFI,probable,probable,no,no,sometimes,yes,no,no,stormy,0.06,permitted
SW TSS,k NHC,IHS,XL16,LJHB,probable,probable,no,no,sometimes,yes,yes,no,stormy,0.2,denied
SG SVI,a VZN,ZZZ,TL63,CGTW,probable,probable,yes,yes,sometimes,no,no,yes,rainy,0.29,permitted
KL AVQ,f ZGS,RQF,YO36,VEMH,improbable,improbable,yes,yes,sometimes,yes,yes,yes,windy,0.47,permitted
DL ETB,k PER,VRF,YB23,WVGB,probable,improbable,no,yes,always,yes,no,no,rainy,0.27,permitted
RF UXC,d WCD,UME,CI82,GSOJ,improbable,improbable,no,no,sometimes,no,yes,yes,cloudy,0.95,permitted
caraccess,blacklisted,normal,a1,peak,improbable,probable,no,yes,always,no,no,no,windy,0.34,denied
EQ FRR,u ODS,KLC,RM43,KQSR,improbable,probable,yes,no,never,no,yes,no,rainy,0.4,permitted
UM CRD,t RFO,HJW,XB60,MTZB,probable,probable,yes,no,sometimes,yes,no,yes,rainy,0.15,denied
KQ PXC,x QZB,GQM,TY49,LDIA,improbable,probable,no,yes,sometimes,no,no,no,rainy,0.5,denied
GT KRH,k PQS,CXU,BT73,TXUN,improbable,probable,no,no,always,yes,no,no,cloudy,0.54,permitted
KD CHO,m GSX,SST,SX55,FFOA,improbable,probable,no,no,never,yes,yes,yes,stormy,0.91,permitted
QK LUD,b ADS,BPG,FZ65,YTAC,improbable,improbable,yes,yes,sometimes,yes,no,yes,stormy,0.73,permitted
NZ VVA,t FHC,WHV,PH61,VEZD,probable,probable,no,no,never,yes,no,yes,sunny,0.06,denied
WY AWW,q RMJ,AAZ,YF29,WOUP,improbable,probable,yes,yes,sometimes,yes,no,yes,cloudy,0.05,denied
police,normal,luxe,a3,off,improbable,improbable,yes,no,always,yes,yes,no,windy,0.96,permitted
FF UWG,h KQZ,OKB,ZN76,SWZI,probable,improbable,yes,yes,always,no,yes,yes,rainy,0.56,denied
NI ZID,l PFB,BDX,CL08,TRHI,improbable,probable,yes,yes,never,no,no,yes,stormy,0.03,denied
others,vip,normal,a2,peak,probable,probable,no,yes,never,no,no,no,windy,0.46,permitted
YM DFV,m WDW,SMD,SE79,DVDU,improbable,probable,yes,no,sometimes,no,no,yes,sunny,0.44,denied
WT USU,z CPE,IYJ,BF53,PDRI,improbable,probable,yes,no,sometimes,yes,no,yes,cloudy,0.64,permitted
QT CJC,e MMO,RWJ,TG69,MDML,improbable,improbable,no,no,sometimes,yes,no,no,sunny,0.53,denied
VI UBL,q NCS,QBN,WL22,HJOF,improbable,improbable,no,no,sometimes,no,yes,no,windy,0.5,denied
others,vip,normal,a1,off,probable,probable,no,yes,never,no,yes,no,cloudy,0.22,permitted
RL YWY,q JWG,ZZG,BA87,SKCD,improbable,probable,yes,no,sometimes,yes,yes,no,windy,0.09,permitted
DZ LCC,g AAC,LVH,RV49,NUKD,probable,improbable,yes,no,always,no,yes,no,sunny,0.31,permitted
CA VJM,c VRN,NWZ,IH99,BQKE,probable,improbable,yes,yes,always,yes,yes,no,rainy,0.08,permitted
JN DLO,k CEI,MNT,QF47,IDTL,improbable,probable,yes,yes,sometimes,yes,no,no,sunny,0.41,permitted
IL LHZ,h OFT,GBK,IW51,IMZU,probable,probable,yes,yes,sometimes,yes,yes,yes,sunny,0.08,permitted
QR FIA,k HHN,ICP,RJ81,GCCF,improbable,probable,no,yes,sometimes,no,yes,no,stormy,0.2,denied
JO NVH,q GIT,JSW,EC02,PNFR,probable,probable,yes,no,never,no,yes,yes,windy,0.45,permitted
NA AUF,n XST,COY,RO88,DZOH,improbable,improbable,no,yes,sometimes,no,yes,yes,windy,0.02,denied
VB TGW,n QDI,WUZ,LW52,CILV,improbable,improbable,yes,yes,always,yes,no,no,stormy,0.99,permitted
FC WWV,z HHM,VQZ,PK22,WUKW,improbable,improbable,no,no,never,yes,yes,yes,sunny,0.01,permitted
FO VHC,c WUN,PEY,AX05,FKFA,probable,improbable,no,yes,never,yes,no,yes,rainy,0.67,denied
DA GHS,z KQY,CFR,NX48,ZVKE,probable,improbable,no,yes,never,no,no,yes,cloudy,0.69,permitted
ZG DQF,x JZO,NLB,ZW12,WOZB,improbable,probable,yes,no,never,no,yes,no,sunny,0.02,permitted
WA FSQ,m RHQ,XTX,CY05,GQVS,improbable,probable,no,no,always,no,yes,no,rainy,0.4,permitted
ER NFZ,g NXC,AIM,XS42,HCEG,improbable,probable,yes,no,never,no,no,no,rainy,0.76,permitted
FV EKU,n EYG,MJR,HM99,KDOG,improbable,improbable,no,yes,sometimes,yes,no,no,rainy,0.29,permitted
others,normal,normal,a1,peak,probable,probable,no,yes,sometimes,no,yes,yes,stormy,0.07,permitted
caraccess,vip,normal,a2,peak,probable,probable,no,yes,never,yes,no,yes,windy,0.34,permitted
BY WHZ,d CWR,YRL,FO33,WANU,probable,probable,no,yes,sometimes,no,yes,no,windy,0.32,permitted
UB LEI,o KER,QAD,UV09,KSNS,improbable,probable,no,yes,never,no,yes,no,cloudy,0.04,permitted
others,blacklisted,normal,a2,off,probable,probable,no,yes,never,no,yes,yes,windy,0.19,denied
HO UCB,m CMO,FYC,EJ06,KZYH,probable,probable,yes,yes,never,yes,no,no,sunny,0.59,permitted
CG YWO,f QOG,DDF,JE57,MJOW,improbable,improbable,yes,yes,never,no,yes,yes,cloudy,0.58,permitted
GO LGL,i GZQ,TYT,OJ16,RTRP,probable,improbable,no,no,always,yes,yes,no,cloudy,0.29,permitted
SF IOJ,b UNE,UPL,KI57,FUXD,probable,improbable,no,yes,sometimes,no,no,yes,rainy,0.22,permitted
EJ YAA,b MVX,WUQ,JV62,KLZL,probable,probable,yes,no,sometimes,no,yes,yes,sunny,0.46,permitted
KW VTS,s YIJ,YLZ,AU81,YOBD,probable,probable,yes,yes,sometimes,yes,no,no,rainy,0.34,permitted
HJ GGS,g ENY,UXQ,OP41,OGFT,probable,improbable,no,yes,never,no,no,no,sunny,0.44,permitted
IK ZTI,k NBK,IMQ,PA00,IXYI,probable,probable,no,no,sometimes,no,yes,yes,stormy,0.14,permitted
NW ZEV,k IDG,ZVT,ED92,LETD,probable,improbable,yes,no,never,yes,yes,no,cloudy,0.29,denied
GJ AWF,e BFC,CCJ,HR13,ZPDT,probable,improbable,yes,yes,never,yes,yes,yes,cloudy,0.81,permitted
QS TAZ,k HXB,AXF,HQ57,UOSY,improbable,improbable,yes,yes,never,no,yes,yes,cloudy,0.56,permitted
DM NCM,t TKA,HJV,TC18,MDER,probable,improbable,yes,yes,always,yes,yes,no,sunny,0.55,permitted
MO OME,p NQR,UXJ,UR42,WMXE,improbable,probable,no,no,always,yes,yes,no,stormy,0.66,denied
DL BNT,l ORB,JTR,YR70,VNVB,improbable,improbable,yes,yes,sometimes,yes,no,no,windy,0.93,permitted
UX FNU,o QTT,XBI,VH84,OJCW,improbable,probable,no,no,sometimes,no,yes,yes,stormy,0.08,permitted
YB DAV,k DMB,AEK,ZM83,OFMY,improbable,improbable,no,no,always,yes,yes,yes,sunny,0.9,permitted
QM OCU,o QJB,OTG,GJ32,BARF,probable,improbable,no,yes,always,yes,yes,yes,windy,0.8,permitted
MV NPE,b MYT,TEU,WB95,WRCX,probable,improbable,no,no,always,no,yes,yes,windy,0.97,permitted
partner,normal,luxe,a3,off,improbable,improbable,yes,no,always,yes,no,yes,stormy,0.83,denied
IY JED,c GYB,DUM,PE34,IVDH,improbable,improbable,yes,no,never,no,yes,yes,windy,0.26,permitted
police,vip,luxe,a1,peak,improbable,improbable,yes,yes,never,no,no,yes,stormy,0.87,permitted
EQ OUC,v MZI,CSE,WH82,AAHN,probable,probable,no,yes,sometimes,no,no,yes,rainy,0.04,permitted
DI TSG,q MOU,IPD,LC40,QMRP,improbable,probable,yes,yes,sometimes,no,no,yes,stormy,0.64,permitted
TR KSI,l BZK,KRO,NY32,GKXL,improbable,improbable,no,no,always,no,yes,no,stormy,0.29,denied
PB RIR,u NTE,WHT,GS05,TIVS,improbable,improbable,yes,yes,never,no,no,yes,sunny,0.97,permitted
WS ZCT,g WKF,ORG,KF95,VNYY,improbable,improbable,yes,no,always,yes,yes,yes,rainy,0.64,denied
VD VYS,g VQO,PAH,JT13,TNMF,probable,improbable,no,yes,never,yes,yes,no,rainy,0.76,permitted
AG KGA,a NFF,CMI,HC82,KGWA,probable,improbable,yes,yes,always,yes,no,no,stormy,0.95,permitted
RT HUN,w TGR,BHP,IN12,CQRG,improbable,probable,yes,no,never,no,no,no,rainy,0.77,permitted
YJ DJY,c VIR,ZYB,IS91,NSGQ,improbable,improbable,yes,yes,never,yes,yes,yes,rainy,0.8,denied
OD SYQ,h PTS,UDF,SE09,JFFO,improbable,probable,yes,no,always,no,yes,yes,rainy,0.25,permitted
WL BHO,a SYS,NCP,MX15,SYPQ,improbable,improbable,yes,yes,always,no,yes,no,stormy,0.85,permitted
SB EOV,d BWD,SEW,IN81,IKZA,probable,improbable,no,yes,sometimes,no,yes,no,rainy,0.37,permitted
VB BHO,c LXL,ORN,OJ11,VAJM,improbable,improbable,yes,no,always,yes,yes,yes,stormy,0.69,permitted
TK KXS,n NIW,YFB,AH18,BVIT,improbable,improbable,no,no,sometimes,no,no,yes,sunny,0.84,permitted
YS OTJ,m FSM,DKR,UR39,KRBK,probable,probable,yes,no,never,no,no,no,stormy,0.7,permitted
MM IBM,v IOX,XHZ,WO54,KYAN,probable,improbable,yes,no,always,yes,yes,no,sunny,0.14,denied
RV IPW,i APF,TRQ,CJ57,RJXC,improbable,improbable,yes,yes,never,no,yes,no,sunny,0.69,permitted
BB YJT,k HRS,ACO,XG04,XWJO,improbable,improbable,no,yes,sometimes,yes,yes,yes,stormy,0.64,permitted
XO KCI,e FXI,ECF,OI17,AUPL,probable,improbable,yes,no,never,yes,no,yes,cloudy,0.45,permitted
IE XRL,z TVT,GZQ,SF74,GCNC,improbable,improbable,no,no,sometimes,no,yes,yes,windy,0.61,permitted
XF ZHG,f SBL,CDF,DO02,FAIT,improbable,improbable,no,yes,always,yes,no,yes,rainy,0.83,permitted
RG VMS,p DWI,QJR,UU30,YEZQ,probable,probable,no,yes,never,no,yes,no,stormy,0.25,permitted
VT PWV,s KWS,EDO,LA47,UEMS,probable,improbable,no,yes,never,no,no,no,stormy,0.9,permitted
QK KVR,b LBO,HDK,QH94,HKBU,probable,probable,yes,yes,sometimes,no,no,yes,sunny,0.63,permitted
VS VZO,m KQD,VDT,OQ04,HZNE,improbable,improbable,yes,yes,sometimes,yes,yes,no,cloudy,0.14,permitted
XT LPM,p KKB,ANT,ST07,HMZM,improbable,probable,yes,yes,never,yes,yes,no,windy,0.9,permitted
others,vip,normal,a1,peak,probable,probable,no,yes,never,no,no,no,windy,0.94,permitted
JL UHN,l VNP,FHK,KW43,PDVZ,probable,improbable,no,no,never,no,no,no,windy,0.14,permitted
ES TRM,z HNR,ZKI,YP77,DQGC,probable,improbable,yes,no,sometimes,yes,yes,no,stormy,0.97,permitted
DY NKF,n ZPB,CZD,YM26,ZUMT,improbable,improbable,yes,yes,sometimes,yes,yes,yes,rainy,0.13,permitted
CP KOX,y BEQ,XPD,KG87,FOVV,improbable,probable,yes,no,never,no,no,yes,cloudy,0.52,permitted
YP FPE,j SWJ,QJX,XW27,PHNN,probable,probable,no,yes,sometimes,no,no,no,rainy,0.92,denied
BG YHZ,x UPU,GHA,HC11,ETBS,improbable,probable,no,no,sometimes,yes,yes,no,sunny,0.08,permitted
YK EKB,n QGS,BXC,DS27,LANL,probable,improbable,yes,no,never,yes,yes,yes,windy,0.2,permitted
PX ZEW,a JAM,JCV,ZL81,CLUY,improbable,improbable,no,no,sometimes,no,no,no,sunny,0.94,permitted
BV PLM,p DPG,KLK,FB87,OEBL,probable,probable,yes,no,never,yes,yes,no,stormy,0.54,permitted
SX JDK,o LWP,NFK,ZG76,EPDK,probable,probable,no,yes,sometimes,yes,no,yes,rainy,0.44,permitted
caraccess,blacklisted,luxe,a2,off,improbable,improbable,yes,no,always,yes,no,yes,rainy,0.48,denied
FQ WVU,n CBW,BHE,ZJ26,DURK,probable,improbable,no,no,always,no,no,yes,rainy,0.94,permitted
TZ NEA,s HKU,PCE,OL52,FICP,probable,improbable,no,yes,never,yes,yes,no,cloudy,0.39,permitted
UE IBF,h EVH,MJO,YW90,PALM,probable,improbable,no,no,never,yes,no,yes,sunny,0.43,permitted
YX LCG,s UEI,LJB,CC43,MKVV,improbable,probable,yes,no,sometimes,no,no,no,windy,0.3,permitted
NW MCG,t ZXM,LXP,KO68,HWLN,improbable,probable,yes,no,always,no,no,no,sunny,0.41,permitted
OU CXY,u NMA,YAE,VX80,STKQ,probable,improbable,no,yes,always,no,no,yes,rainy,0.67,permitted
GJ TIP,z KGW,AVZ,IC64,DVKK,improbable,probable,no,yes,always,no,yes,yes,windy,0.99,permitted
HM NSY,z UJX,FNZ,PU64,JBOV,probable,probable,yes,no,never,yes,yes,yes,stormy,0.15,permitted
IU QLQ,n TSI,KEU,KQ07,TTJL,improbable,probable,yes,yes,never,no,yes,yes,sunny,0.08,permitted
RX ANC,j BQH,RGO,IT92,ZGBL,improbable,probable,yes,no,never,yes,no,no,windy,0.59,permitted
WI PFQ,p JVX,HGS,GU60,GGDI,probable,improbable,yes,no,always,yes,no,yes,windy,0.29,permitted
GQ DQX,h MSG,SUV,OJ90,URCS,improbable,improbable,no,yes,always,yes,no,yes,rainy,0.23,permitted
others,blacklisted,normal,a1,peak,probable,probable,no,no,never,no,yes,yes,rainy,0.98,denied
YU GCF,v QME,AIP,WM77,BCDJ,improbable,probable,yes,no,always,yes,no,no,rainy,0.67,permitted
EA SBM,j AHE,UXS,JJ17,YQSB,improbable,probable,yes,no,sometimes,no,yes,yes,stormy,0.43,permitted
RX XNF,r ICA,ZNV,GG67,VBFF,probable,improbable,yes,no,always,no,yes,yes,stormy,0.46,permitted
NR KQX,r UDU,JPT,OB13,CHEM,probable,probable,yes,no,sometimes,no,no,yes,cloudy,0.47,denied
EN LEE,a KKC,SQN,IA02,FZVX,probable,improbable,yes,no,sometimes,no,yes,no,stormy,0.51,permitted
HK POV,x QPD,CTS,XO07,SPTS,probable,improbable,no,no,never,yes,no,yes,windy,0.48,permitted
partner,vip,luxe,a3,peak,improbable,improbable,yes,yes,sometimes,no,no,no,rainy,0.64,permitted
WG BWJ,p JQH,SMA,OA50,KBCB,probable,probable,no,yes,sometimes,no,no,yes,cloudy,0.25,permitted
BA ORN,h BJS,DPY,JG54,LNHZ,improbable,probable,no,no,sometimes,yes,yes,no,windy,0.69,permitted
FK HOL,p LSB,YUI,GV85,GKJS,improbable,probable,no,no,always,yes,no,yes,windy,0.83,denied
HU LUX,z ZMC,OOV,PF40,ZSAJ,improbable,probable,yes,no,sometimes,yes,yes,no,sunny,0.56,permitted
RL ULJ,k XSQ,FLY,XA23,RIYU,improbable,improbable,no,yes,never,yes,yes,no,sunny,0.89,permitted
YB OCM,h DNC,AKH,CY08,XDMW,probable,improbable,yes,yes,sometimes,yes,no,yes,sunny,0.43,permitted
EV FGS,q IUR,JXR,ET06,QNAS,probable,improbable,no,no,sometimes,yes,no,yes,stormy,0.52,permitted
YI EQC,c CEG,OKV,IO35,ZNAQ,improbable,improbable,yes,yes,always,yes,yes,yes,stormy,0.11,permitted
HO PSD,r VMT,OMN,WH90,XQWT,probable,improbable,no,yes,never,yes,no,yes,windy,0.41,permitted
ZF MHS,i VLR,MPX,TJ80,TPUK,improbable,improbable,no,yes,never,yes,no,yes,cloudy,0.02,permitted
GQ TKQ,x PGQ,YFD,YU53,THJB,probable,probable,no,no,sometimes,yes,no,yes,rainy,0.24,permitted
WT NXR,k LLL,OXV,KI79,INOX,improbable,probable,yes,yes,sometimes,yes,yes,yes,windy,0.04,permitted
EI QSX,m BGY,BWY,ZN55,RJBP,improbable,probable,yes,no,never,yes,yes,no,cloudy,0.6,permitted
UR ULH,a DOB,RIA,BO55,MOWQ,probable,probable,no,yes,never,yes,yes,yes,sunny,0.18,permitted
TR CCJ,k VKW,GWN,JM84,ZSNA,probable,probable,no,yes,always,yes,no,yes,rainy,0.59,permitted
ID OKC,b DSM,BOV,HI15,KUTQ,probable,improbable,yes,no,sometimes,no,yes,yes,sunny,0.53,permitted
VU GOI,y MXJ,PIC,JT83,DEQQ,probable,improbable,yes,yes,sometimes,no,no,yes,sunny,0.82,permitted
GM ITD,t VWG,HPM,PA96,LVOE,improbable,probable,yes,yes,always,no,no,no,cloudy,0.92,permitted
WP QEU,t DFT,XRV,ZL53,NFXJ,probable,improbable,no,no,never,no,yes,no,cloudy,0.46,permitted
