org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
OZ YLF,r MLZ,KHM,UO76,JOPC,probable,probable,yes,no,never,no,no,yes,cloudy,0.19,permitted
HU ISU,h WQS,FBX,LQ87,PIFL,probable,probable,no,yes,sometimes,yes,no,no,sunny,0.84,permitted
NS QBX,u SQZ,KJJ,EN34,GDZV,probable,improbable,yes,yes,always,no,no,yes,rainy,0.45,permitted
police,normal,normal,a3,peak,probable,probable,no,yes,never,yes,no,yes,windy,0.47,permitted
TI GJG,r HZA,OAX,DT21,NWCG,probable,probable,yes,yes,never,no,yes,yes,windy,0.96,permitted
LX OME,p YBD,OBT,QW47,INLC,improbable,probable,no,yes,never,no,yes,yes,rainy,0.59,permitted
KM CIT,o YSR,ABU,MD98,DBIW,probable,improbable,no,no,always,yes,no,no,cloudy,0.66,permitted
LY TGZ,e XGC,CBT,RP42,ZBJM,probable,probable,no,no,sometimes,yes,yes,no,stormy,0.28,denied
OQ TLB,o YTM,UCC,SR00,SZNM,probable,improbable,no,no,never,yes,no,yes,stormy,0.18,permitted
RV UWY,a MAR,POD,YA66,ZDDW,probable,improbable,no,no,never,yes,no,yes,windy,0.57,permitted
IV DSN,x GYA,HFQ,OZ96,HFGX,improbable,probable,no,yes,sometimes,no,no,yes,windy,0.33,permitted
II GIS,d VMP,LLZ,YH61,AVSV,probable,probable,no,yes,sometimes,yes,no,no,sunny,0.42,denied
WN UNV,a POO,LSF,VT71,GUUU,improbable,improbable,yes,no,always,yes,yes,yes,cloudy,0.88,permitted
EF RNI,s KTP,VOS,FJ87,BLCV,improbable,probable,no,yes,sometimes,yes,no,no,stormy,0.16,permitted
AP IAI,o YVI,RPT,UI56,EEVI,probable,probable,no,no,always,yes,yes,yes,cloudy,0.18,permitted
XH YWP,e HNM,OSK,ZU33,RFRT,probable,probable,no,yes,sometimes,no,yes,no,windy,0.57,permitted
OZ BTJ,j YHT,DTY,WL22,IMFX,improbable,improbable,yes,yes,sometimes,no,yes,yes,windy,0.62,permitted
CP GYG,w LWS,JFU,VH50,NKOW,probable,probable,yes,no,sometimes,yes,yes,yes,stormy,0.39,permitted
police,vip,normal,a2,off,probable,probable,no,yes,never,yes,no,yes,stormy,0.65,permitted
QJ HSK,d NXP,HZE,TY44,GJUR,probable,probable,no,no,never,yes,no,no,rainy,0.67,permitted
FM MCN,v HSZ,ORT,TI21,ZJWV,improbable,improbable,yes,no,sometimes,no,yes,yes,stormy,0.84,permitted
UJ TPZ,s VNN,ALI,XC17,HMKQ,probable,improbable,no,no,always,no,no,yes,rainy,0.24,permitted
IN MDG,u VJG,JLQ,WZ73,UFMA,probable,improbable,no,no,never,yes,no,no,stormy,0.13,permitted
VF HWZ,r YZJ,SGJ,MW89,HQXN,probable,probable,no,yes,never,yes,yes,yes,sunny,0.36,denied
EB WGA,t TYK,CUN,ME99,VTQQ,improbable,improbable,yes,no,always,yes,yes,no,windy,0.99,permitted
LS UTZ,j TGS,STV,GD97,JCOM,improbable,improbable,yes,no,always,yes,no,no,windy,0.75,permitted
XO YLC,x WXK,RSF,DO14,MFDS,probable,improbable,yes,no,never,yes,yes,yes,windy,0.84,permitted
others,vip,luxe,a1,off,improbable,improbable,no,no,never,yes,no,no,rainy,0.83,permitted
PV CYN,v JXM,CKC,QJ95,SZRR,improbable,probable,yes,yes,sometimes,yes,no,yes,windy,0.84,permitted
QJ OMX,q PQP,OWT,FD52,FSEL,probable,probable,no,no,sometimes,no,no,yes,sunny,0.1,denied
VT JAU,v IKL,LZW,JF56,EYCZ,improbable,probable,no,yes,sometimes,no,yes,yes,sunny,0.89,permitted
DH QQU,u OVV,EWD,ME64,MHRY,improbable,probable,yes,yes,sometimes,no,yes,no,windy,0.93,permitted
HE RIY,h FNV,LMA,RK61,KDVY,improbable,improbable,yes,yes,always,no,no,no,windy,0.95,permitted
caraccess,blacklisted,normal,a2,off,probable,probable,no,yes,never,no,no,no,stormy,0.39,denied
DL YMF,v KMS,TUE,QE37,ZPOW,probable,improbable,no,yes,sometimes,no,yes,no,cloudy,0.74,denied
CU SKW,a UTM,AHF,NE95,WVOD,probable,improbable,yes,no,never,no,yes,yes,sunny,0.93,permitted
partner,vip,luxe,a1,off,improbable,probable,yes,no,always,yes,no,no,sunny,0.81,permitted
ST AKT,p OVT,SJW,UY85,NIKG,probable,improbable,no,yes,sometimes,no,no,no,cloudy,0.73,permitted
ZP RKZ,u BAB,SMR,UN06,WYZD,improbable,probable,no,yes,sometimes,no,no,no,windy,0.06,permitted
YQ INX,q NMN,CFS,EA49,OLPE,probable,improbable,no,no,sometimes,yes,no,yes,sunny,0.59,permitted
YN TPM,k PML,PFL,VY10,ZQTD,probable,probable,yes,no,sometimes,yes,no,yes,cloudy,0.76,permitted
YP UVP,o YSM,YWE,PD67,DNLD,probable,improbable,no,no,sometimes,yes,yes,yes,windy,0.41,permitted
AR TWR,p MXI,MWO,PC09,WFWP,improbable,probable,yes,yes,sometimes,yes,yes,yes,cloudy,0.92,permitted
YF FSI,d XCL,NOK,DN10,MIMW,probable,probable,no,no,never,yes,no,yes,sunny,0.04,permitted
QO NRF,y SPZ,REZ,OC75,USUS,improbable,probable,no,yes,never,no,no,yes,windy,0.45,permitted
police,normal,normal,a2,peak,probable,probable,no,yes,never,yes,yes,yes,rainy,0.05,permitted
XB UYU,e FKV,TDC,TM05,GCHE,improbable,improbable,no,no,always,no,no,no,windy,0.8,permitted
partner,blacklisted,normal,a1,peak,probable,probable,no,yes,never,no,yes,no,windy,0.24,denied
police,normal,normal,a3,off,probable,probable,no,yes,never,no,yes,yes,sunny,0.63,denied
YC YYD,g LJH,ISY,FF78,ZKVQ,probable,improbable,no,no,sometimes,yes,no,no,cloudy,0.96,denied
RQ NSA,f JAV,RPK,SI95,KVOH,improbable,probable,no,yes,never,no,no,no,stormy,0.09,permitted
QJ DOY,m MKI,AFB,RO77,ZFHX,improbable,improbable,yes,yes,sometimes,yes,no,no,rainy,0.74,permitted
WF IWV,l IQF,EVT,JW35,WVRS,probable,improbable,no,yes,never,yes,yes,no,stormy,0.41,permitted
KO BFU,s MJP,DCR,QO35,RUUI,probable,probable,no,no,sometimes,yes,no,yes,rainy,0.8,permitted
OZ JXX,q OGP,KMC,MB17,VHBK,probable,probable,no,no,never,no,yes,no,rainy,0.0,permitted
SF JOY,i PQH,SZD,SE42,AKXG,probable,improbable,no,yes,always,no,yes,yes,windy,0.02,denied
JC ZPG,e NBL,CTR,NJ11,KAED,probable,probable,no,yes,always,yes,no,yes,stormy,0.61,permitted
BE NJE,x YKM,MGE,CZ60,RRGC,probable,probable,yes,no,always,yes,no,no,sunny,0.38,permitted
XN DWH,o OKY,QNH,XI51,QGVX,improbable,probable,no,no,sometimes,yes,yes,no,windy,0.03,permitted
QT PCR,k OIO,HYN,YX20,LFXD,improbable,probable,no,no,sometimes,yes,yes,no,sunny,0.08,permitted
PI OFK,y HSU,LWP,OP25,HBSG,probable,improbable,no,yes,always,yes,yes,no,rainy,0.89,permitted
LN CGA,m DJT,YTO,IS78,KDCP,probable,probable,no,no,never,no,yes,yes,rainy,0.78,permitted
NQ NQX,w HBX,JWI,HL03,IVPR,improbable,improbable,no,yes,always,yes,yes,no,cloudy,0.36,denied
KT HNF,n IUU,JKK,WK58,DLHO,improbable,probable,no,no,sometimes,yes,no,yes,cloudy,0.67,permitted
HF SYK,s UHW,RIH,DR84,QZQI,probable,improbable,yes,yes,sometimes,yes,no,no,cloudy,0.45,permitted
AT BVC,o YJJ,TLR,BQ45,OVTD,probable,probable,no,no,sometimes,yes,yes,no,stormy,0.47,permitted
EC TTS,x XTQ,RCK,PF91,EZGJ,probable,improbable,no,no,never,yes,yes,no,sunny,0.41,permitted
GY IQG,o YIA,WID,QT90,ULBN,probable,probable,yes,no,always,no,no,yes,sunny,0.37,permitted
IO XIS,u NMC,VJV,LC25,SDUK,improbable,improbable,yes,yes,never,yes,yes,no,cloudy,0.29,permitted
others,normal,normal,a2,peak,probable,probable,no,yes,sometimes,yes,yes,no,sunny,0.08,denied
WI NGC,y ULK,QBQ,GB06,XCJF,probable,improbable,no,no,sometimes,yes,no,yes,rainy,0.43,permitted
MQ IUL,g RXC,VFD,FD27,MHDP,improbable,probable,yes,yes,sometimes,yes,yes,yes,cloudy,0.67,permitted
partner,normal,luxe,a2,peak,improbable,improbable,yes,no,always,yes,yes,no,cloudy,0.89,permitted
WC ZEC,q VNY,XIE,CQ91,DXPW,probable,improbable,no,yes,sometimes,no,yes,no,windy,0.53,permitted
DK NKY,k DGE,JWN,NH34,ALIK,improbable,probable,yes,yes,sometimes,yes,yes,yes,windy,0.78,permitted
QG BAD,h WJN,LPT,MX69,QQIF,probable,probable,no,no,never,yes,no,no,stormy,0.62,permitted
others,normal,normal,a3,peak,probable,probable,no,yes,never,yes,no,yes,windy,0.19,permitted
GV UNG,z SCL,PDQ,QR07,OCKH,improbable,improbable,yes,no,sometimes,no,yes,no,windy,0.91,permitted
GK REO,o MHE,QQM,TM21,UBZF,probable,probable,yes,yes,sometimes,no,no,yes,sunny,0.95,permitted
NH JIB,u LSC,QYM,IC35,XREY,improbable,probable,yes,yes,sometimes,yes,no,yes,rainy,0.85,permitted
NL KUC,v BXW,QHT,VD80,ALWW,probable,improbable,no,no,sometimes,no,yes,no,windy,0.13,permitted
SD JFN,x EYU,ERB,BJ50,LYTJ,improbable,improbable,no,yes,always,no,no,no,windy,0.99,permitted
RW HLY,b RGT,PFC,BK44,JJOU,improbable,improbable,no,no,sometimes,yes,yes,yes,windy,0.78,permitted
TK ATZ,k AFU,ZJW,TP96,FOYS,probable,probable,no,no,sometimes,yes,yes,yes,cloudy,0.21,permitted
RR NDE,h NDE,SKM,BQ52,WIWT,improbable,improbable,yes,no,sometimes,yes,yes,no,sunny,0.8,permitted
JC KPL,d BTQ,OSZ,HP05,CPZZ,improbable,improbable,no,yes,always,yes,yes,no,cloudy,0.15,permitted
PA HGV,g ECM,SRJ,GA00,LNIN,probable,improbable,yes,no,sometimes,no,yes,yes,sunny,0.37,permitted
QO MTE,v GBR,NYL,IL33,GNIV,probable,improbable,no,no,sometimes,yes,no,no,sunny,0.83,permitted
XU GUN,x GOH,UON,KJ02,ZGQS,probable,probable,yes,no,sometimes,yes,no,yes,rainy,0.53,denied
WB ZEC,p ODX,QAQ,DQ10,SVRH,probable,probable,no,no,always,yes,no,no,cloudy,0.32,denied
AK LHC,o MBF,KNZ,ZX21,TCZS,improbable,improbable,yes,no,sometimes,no,no,yes,rainy,0.53,permitted
AC QIW,o UYX,PMT,VG54,GDBA,improbable,probable,no,no,sometimes,no,yes,yes,windy,0.18,permitted
ID BSY,n VGG,GJH,ZH31,DRTM,improbable,probable,yes,no,sometimes,yes,yes,no,windy,0.76,permitted
OU HIT,h RFI,AER,LI46,CHPN,improbable,improbable,no,no,sometimes,no,yes,yes,windy,0.98,denied
SM EUR,c BZK,GPE,CS84,CKIQ,probable,improbable,yes,no,sometimes,no,no,no,cloudy,0.13,permitted
others,blacklisted,luxe,a1,off,improbable,improbable,yes,no,always,yes,yes,no,windy,0.59,denied
WU CYJ,j MJH,JZN,QZ96,GQUP,probable,improbable,yes,no,never,no,no,yes,windy,0.34,permitted
QN GEY,j QFV,PUG,XD64,CZRB,probable,improbable,no,no,never,no,no,yes,cloudy,0.28,permitted
RO RLO,j FZW,KVJ,IV95,IFVL,probable,improbable,yes,no,always,yes,no,yes,stormy,0.54,permitted
PZ WIG,n NLT,DHT,ID43,OQEW,improbable,probable,no,yes,sometimes,no,no,no,stormy,0.41,permitted
caraccess,blacklisted,luxe,a1,peak,improbable,probable,yes,yes,always,yes,yes,yes,cloudy,0.8,denied
IO ROS,u UWK,MZR,BA75,BSGA,probable,probable,no,no,never,no,yes,yes,rainy,0.29,permitted
HT HMS,y TCN,SNF,NY38,MEDB,probable,probable,no,yes,sometimes,no,no,no,windy,0.07,permitted
OT KAQ,b FWD,DMS,LL39,YXKY,probable,improbable,yes,yes,never,no,no,no,sunny,0.45,permitted
DF HVN,k JAI,LKX,CC51,XVZI,probable,improbable,no,no,always,no,no,yes,sunny,0.0,permitted
QK KXE,g MTN,XUW,XM71,PUNH,probable,improbable,yes,no,always,no,yes,no,stormy,0.98,permitted
IF CTP,y AEZ,SHT,MF15,MEME,improbable,probable,yes,yes,always,yes,yes,no,rainy,0.56,permitted
XS BVB,d URI,ATH,MK87,TVXS,probable,improbable,yes,no,sometimes,yes,no,no,windy,0.67,permitted
BL UKG,o MMB,WBE,SJ66,GVGU,improbable,probable,yes,no,always,no,no,no,cloudy,0.28,permitted
RY VHK,k JZP,BHG,DN53,XKKY,probable,probable,yes,yes,never,yes,no,yes,stormy,0.09,denied
RA YZH,c JKM,AJN,CF67,QTKF,probable,improbable,yes,no,never,yes,yes,yes,cloudy,0.55,permitted
PE POY,z BWH,YBL,EW07,VWFW,improbable,improbable,yes,no,always,yes,no,yes,rainy,0.99,permitted
BG RBS,l EXG,PXV,UM85,QCNP,probable,probable,no,no,sometimes,no,no,yes,sunny,0.64,permitted
KC HYE,s CJE,QRK,TJ26,SEBT,probable,improbable,no,yes,sometimes,no,no,no,windy,0.75,permitted
police,vip,normal,a1,peak,probable,probable,yes,yes,always,yes,yes,yes,rainy,0.26,permitted
SA VTB,q XWC,EUX,DK84,CXRC,probable,improbable,no,no,never,yes,no,yes,sunny,0.2,permitted
OB JNW,z VJV,JDW,BL48,WITJ,improbable,improbable,yes,no,sometimes,no,no,no,stormy,0.01,permitted
LI NWU,q KNF,AHN,PQ04,JXMC,improbable,probable,no,yes,sometimes,no,yes,no,rainy,0.07,denied
CR NZQ,x JCG,EEE,DQ91,ORDT,improbable,probable,yes,yes,sometimes,yes,yes,no,stormy,0.41,denied
EP KKQ,g QGL,JCN,YP99,WPPS,improbable,improbable,yes,yes,sometimes,no,no,yes,sunny,0.64,permitted
EW PSN,y ZSL,ZGQ,OM81,SIKE,probable,probable,no,no,never,no,yes,yes,rainy,0.78,permitted
IZ TFO,o VKJ,MIQ,HP03,DNXT,improbable,improbable,yes,yes,never,no,yes,no,sunny,0.53,permitted
UZ HLA,l AGJ,ULW,LV17,WHIS,improbable,improbable,yes,yes,sometimes,yes,yes,no,stormy,0.68,permitted
WT PVV,c BLI,BVK,SE17,IZWW,improbable,improbable,yes,yes,sometimes,no,no,no,stormy,0.17,permitted
BU TST,r MZC,PVQ,QB81,RCSF,improbable,improbable,no,yes,never,yes,yes,yes,rainy,0.02,permitted
RT DOY,o WJK,URS,YF78,CAJK,improbable,probable,yes,yes,always,no,yes,no,stormy,0.84,permitted
TU WVD,p EZG,MGQ,ZN76,FOPR,probable,probable,no,yes,sometimes,no,yes,no,cloudy,0.88,permitted
UU PND,d YHP,XEU,QF74,SOBY,improbable,improbable,no,yes,never,yes,yes,no,stormy,0.8,permitted
VT YGC,y XEQ,IDP,TW73,SHXB,improbable,improbable,yes,no,always,no,yes,no,cloudy,0.32,permitted
police,vip,normal,a2,peak,probable,probable,no,no,never,yes,no,no,rainy,0.02,permitted
JT BIL,p IBD,VYH,AZ12,CYNR,probable,improbable,no,yes,never,no,no,yes,stormy,0.78,permitted
NK FMY,r YOO,XND,LC11,MWOJ,improbable,probable,no,no,sometimes,no,no,no,stormy,0.05,permitted
WR OBR,y ENE,PGE,KO50,JODE,improbable,improbable,yes,yes,sometimes,yes,no,no,sunny,0.49,permitted
AU QTJ,f UNJ,VAY,GE94,ABWI,improbable,improbable,yes,yes,never,yes,no,no,cloudy,0.41,permitted
JY QTB,l UHM,FWC,BR44,WOOK,improbable,probable,no,no,sometimes,no,no,no,sunny,0.52,permitted
RO MSI,r GGZ,RXL,RR60,QXVP,probable,improbable,no,yes,always,no,no,yes,rainy,0.7,denied
FK YQJ,y HDH,NPI,FA53,KINI,probable,improbable,yes,yes,sometimes,no,yes,no,windy,0.71,permitted
VA SVN,w PGW,QII,VR01,HZGB,improbable,probable,no,no,never,no,yes,yes,cloudy,0.2,permitted
EO FHA,b ANT,TUW,IL20,FMXA,probable,probable,yes,no,always,yes,yes,yes,rainy,0.78,denied
others,normal,normal,a2,off,probable,probable,no,yes,sometimes,yes,no,yes,stormy,0.57,permitted
police,normal,normal,a1,peak,probable,improbable,no,yes,sometimes,no,yes,no,sunny,0.17,permitted
LE QWZ,a NIC,WDH,ZD07,RETY,probable,probable,yes,yes,always,no,yes,yes,stormy,0.06,permitted
BP KVJ,c MSU,OLR,OP45,NEWM,improbable,improbable,yes,yes,sometimes,yes,no,no,stormy,0.62,denied
others,normal,luxe,a1,peak,improbable,improbable,yes,no,always,no,no,no,windy,0.42,denied
HU NDW,q KPP,UON,BD41,BGDE,probable,improbable,no,no,never,yes,yes,no,sunny,0.77,permitted
IX PKJ,h AWW,CHI,BZ14,EYYZ,improbable,improbable,yes,no,sometimes,no,yes,no,cloudy,0.86,permitted
caraccess,normal,luxe,a1,peak,improbable,improbable,yes,no,always,no,yes,no,stormy,0.22,permitted
KY VGH,x PJV,XYH,YR88,DGPN,probable,improbable,no,no,always,no,no,no,windy,0.9,permitted
AG KCJ,g MKO,FMX,MC37,CXSV,improbable,probable,no,no,always,no,no,yes,cloudy,0.87,permitted
UM MDP,z CVH,RSJ,IW01,IYEF,improbable,improbable,no,yes,never,no,yes,no,sunny,0.98,permitted
UC NOR,l IRX,VAU,AA57,BIQP,improbable,probable,yes,yes,sometimes,yes,yes,no,windy,0.16,permitted
IO HQA,i XET,CWG,BJ33,SXSV,probable,improbable,no,no,always,yes,no,yes,rainy,0.2,denied
CA CGH,h WZD,AUL,IV03,BJLO,improbable,probable,yes,no,sometimes,yes,no,no,sunny,0.36,permitted
YM QAU,r ZFO,VQL,JH60,BOLN,probable,improbable,no,no,always,yes,yes,no,stormy,0.01,permitted
others,blacklisted,luxe,a2,peak,improbable,improbable,yes,no,always,yes,no,no,windy,0.06,denied
LI FSF,m MSN,CNS,MD69,GUKG,improbable,probable,no,no,always,yes,no,yes,cloudy,0.33,permitted
partner,normal,normal,a3,off,probable,probable,no,yes,never,yes,yes,no,windy,0.21,denied
DU INW,s NQK,SPR,FZ48,OQJI,probable,improbable,no,yes,sometimes,no,no,yes,windy,0.03,permitted
YS KLF,t SBU,JPB,LL85,ENNW,improbable,improbable,yes,yes,never,no,no,yes,windy,0.75,denied
caraccess,blacklisted,normal,a3,off,probable,probable,no,no,always,no,yes,no,stormy,0.87,denied
GK EZF,q YLK,TYI,UF69,EJPZ,probable,improbable,no,yes,never,no,no,no,windy,0.06,permitted
FW SXS,h FAA,TRP,UH34,UNUM,probable,improbable,no,yes,sometimes,no,no,yes,cloudy,0.1,permitted
caraccess,vip,luxe,a2,peak,improbable,improbable,yes,no,always,yes,no,yes,windy,0.6,denied
BA BQS,e ZVY,DMM,PN38,INHD,improbable,improbable,no,no,always,no,yes,no,cloudy,0.82,permitted
CI IWV,m OBX,UHA,ZH77,EKYE,improbable,probable,no,yes,always,yes,yes,yes,stormy,0.38,permitted
SH IXL,u MWR,QRF,XP19,BFYM,probable,improbable,yes,no,never,yes,yes,no,cloudy,0.46,permitted
YB HTG,a MJI,GUS,TE13,BLFZ,probable,improbable,yes,yes,never,no,no,no,windy,0.19,permitted
GG ITC,v QOG,YJE,MB46,DAML,improbable,improbable,no,no,never,yes,no,yes,stormy,0.47,permitted
EH KOW,s AXN,DZC,EB88,GWUD,probable,improbable,no,yes,never,no,yes,no,stormy,0.62,permitted
police,blacklisted,normal,a2,off,probable,probable,yes,yes,sometimes,no,no,no,cloudy,0.17,denied
HS WYN,v AGA,SKL,HT16,DJZO,probable,probable,yes,no,always,no,no,yes,sunny,0.35,permitted
QB HTU,k UFZ,EJY,HS83,MSWT,probable,improbable,no,no,sometimes,yes,yes,yes,sunny,0.56,permitted
VJ ZEJ,z MUG,PXO,KW79,QWKE,improbable,improbable,yes,no,sometimes,no,yes,yes,sunny,0.13,permitted
ZR YRF,x OKM,KKI,PQ82,LQYO,improbable,improbable,yes,yes,always,no,no,no,stormy,0.42,permitted
JZ ZRI,e AVT,MAA,UY99,LWWO,improbable,improbable,no,yes,sometimes,yes,no,no,cloudy,0.44,permitted
HZ WAE,h QAP,YOV,AM15,JYXI,improbable,improbable,no,no,never,no,yes,yes,windy,0.45,permitted
QS LVR,s DTO,JJX,XP08,PHTS,improbable,probable,yes,yes,never,yes,yes,yes,sunny,0.75,permitted
IR LTS,l UQS,HPZ,OM20,IVQG,probable,probable,yes,yes,never,yes,no,no,cloudy,0.95,permitted
police,normal,normal,a1,off,probable,probable,no,yes,never,no,yes,yes,sunny,0.94,permitted
QW THZ,z GAK,ACE,DM06,LPGT,probable,probable,yes,no,always,no,no,yes,stormy,0.76,permitted
BA MTA,o OBB,OFE,YO25,MQLT,probable,improbable,no,yes,always,no,no,no,rainy,0.22,permitted
YZ GXJ,z SCK,VRD,TN62,ZRAB,probable,probable,no,yes,always,no,yes,no,cloudy,0.34,permitted
BV MJX,k SLW,FRZ,FW89,EKUC,probable,improbable,yes,yes,sometimes,yes,no,yes,cloudy,0.4,permitted
EF FYF,j NIG,WWE,WJ77,AJKP,probable,probable,no,yes,sometimes,yes,no,yes,cloudy,0.97,permitted
RT QHP,m MWQ,ZAW,OU20,WGGB,probable,probable,yes,no,sometimes,yes,no,yes,sunny,0.62,permitted
caraccess,blacklisted,normal,a2,peak,improbable,probable,no,yes,never,no,yes,no,rainy,0.23,denied
BJ ERO,k AYC,VKM,MG18,HWKJ,probable,improbable,yes,yes,sometimes,yes,yes,no,cloudy,0.95,permitted
EW ZOT,q RQG,PNZ,HU27,IRJH,improbable,improbable,no,yes,always,yes,no,yes,stormy,0.62,permitted
police,normal,luxe,a1,off,improbable,probable,yes,no,sometimes,no,yes,no,cloudy,0.3,permitted
QO SLY,m VTZ,ZMQ,GC22,PLLW,probable,improbable,no,yes,never,yes,yes,no,windy,0.97,permitted
ZL WDN,f PDB,SCT,ZF51,YZCH,improbable,probable,no,yes,sometimes,no,yes,yes,stormy,0.94,permitted
SK XRZ,j KCN,NEU,UV81,YBFB,probable,probable,no,yes,never,no,no,no,windy,0.9,permitted
WP ULS,a UGU,DSP,TA22,XYZX,improbable,improbable,yes,yes,sometimes,no,no,no,windy,0.2,permitted
partner,normal,normal,a2,peak,probable,probable,no,yes,never,no,yes,yes,sunny,0.94,permitted
NB AYE,d CDJ,SEA,NC06,ZCOF,improbable,improbable,no,no,always,no,no,yes,windy,0.97,permitted
FO VXQ,d WZS,RSU,AC88,XRAV,improbable,probable,yes,yes,always,no,yes,no,cloudy,0.76,permitted
IH OGK,p ZZA,EFJ,DM16,FLNB,probable,probable,yes,yes,never,yes,yes,no,stormy,0.51,permitted
PZ VUE,a HPF,ZBL,LR10,IEZZ,improbable,improbable,no,yes,always,yes,no,yes,rainy,0.4,permitted
partner,normal,normal,a3,peak,probable,probable,no,yes,sometimes,no,yes,no,rainy,0.93,permitted
TZ NXF,g RVG,QEH,DA13,SDVK,improbable,probable,no,no,sometimes,yes,no,yes,windy,0.59,permitted
BV BXZ,m QIX,XYC,TF48,JYQF,probable,improbable,no,no,sometimes,no,yes,no,rainy,0.11,permitted
